board_size:    (2108267, 16)
direction_size:    (2108267,)
board_size:    (140250, 16)
direction_size:    (140250,)
Epoch:  0 | train loss: 1.1782 | test accuracy: 42.00
Epoch:  0 | train loss: 1.0554 | test accuracy: 37.00
Epoch:  0 | train loss: 1.1721 | test accuracy: 40.00
Epoch:  0 | train loss: 1.0589 | test accuracy: 50.00
Epoch:  0 | train loss: 1.1322 | test accuracy: 43.00
Epoch:  0 | train loss: 0.9195 | test accuracy: 60.00
Epoch:  0 | train loss: 1.1197 | test accuracy: 42.00
Epoch:  0 | train loss: 1.0985 | test accuracy: 46.00
Epoch:  0 | train loss: 1.0596 | test accuracy: 56.00
Epoch:  0 | train loss: 1.0512 | test accuracy: 51.00
Epoch:  0 | train loss: 1.0825 | test accuracy: 53.00
Epoch:  0 | train loss: 1.0502 | test accuracy: 54.00
Epoch:  0 | train loss: 1.1115 | test accuracy: 43.00
Epoch:  0 | train loss: 1.0159 | test accuracy: 51.00
Epoch:  0 | train loss: 1.0728 | test accuracy: 37.00
Epoch:  0 | train loss: 1.1001 | test accuracy: 40.00
Epoch:  0 | train loss: 1.0395 | test accuracy: 51.00
Epoch:  0 | train loss: 1.0367 | test accuracy: 45.00
Epoch:  0 | train loss: 1.0320 | test accuracy: 57.00
Epoch:  0 | train loss: 1.0666 | test accuracy: 50.00
Epoch:  0 | train loss: 1.0365 | test accuracy: 57.00
Epoch:  0 | train loss: 1.0406 | test accuracy: 45.00
Epoch:  0 | train loss: 1.0572 | test accuracy: 46.00
Epoch:  0 | train loss: 1.0617 | test accuracy: 56.00
Epoch:  0 | train loss: 1.0629 | test accuracy: 48.00
Epoch:  0 | train loss: 1.0404 | test accuracy: 45.00
Epoch:  0 | train loss: 1.1075 | test accuracy: 48.00
Epoch:  0 | train loss: 1.0051 | test accuracy: 50.00
Epoch:  0 | train loss: 1.0616 | test accuracy: 46.00
Epoch:  0 | train loss: 0.9859 | test accuracy: 54.00
Epoch:  0 | train loss: 1.0202 | test accuracy: 50.00
Epoch:  0 | train loss: 0.9850 | test accuracy: 53.00
Epoch:  0 | train loss: 1.1790 | test accuracy: 34.00
Epoch:  0 | train loss: 1.0870 | test accuracy: 53.00
Epoch:  0 | train loss: 0.9770 | test accuracy: 53.00
Epoch:  0 | train loss: 1.0241 | test accuracy: 53.00
Epoch:  0 | train loss: 1.1127 | test accuracy: 45.00
Epoch:  0 | train loss: 0.9859 | test accuracy: 50.00
Epoch:  0 | train loss: 1.0060 | test accuracy: 53.00
Epoch:  0 | train loss: 0.9328 | test accuracy: 57.00
Epoch:  0 | train loss: 0.9982 | test accuracy: 59.00
Epoch:  0 | train loss: 1.0078 | test accuracy: 51.00
Epoch:  0 | train loss: 1.0945 | test accuracy: 50.00
Epoch:  0 | train loss: 1.0555 | test accuracy: 46.00
Epoch:  0 | train loss: 1.0803 | test accuracy: 48.00
Epoch:  0 | train loss: 0.9882 | test accuracy: 50.00
Epoch:  0 | train loss: 1.0903 | test accuracy: 51.00
Epoch:  0 | train loss: 1.2055 | test accuracy: 35.00
Epoch:  0 | train loss: 1.0410 | test accuracy: 40.00
Epoch:  0 | train loss: 1.1739 | test accuracy: 43.00
Epoch:  0 | train loss: 0.9947 | test accuracy: 53.00
Epoch:  0 | train loss: 1.0316 | test accuracy: 50.00
Epoch:  0 | train loss: 1.0594 | test accuracy: 54.00
Epoch:  0 | train loss: 1.1485 | test accuracy: 40.00
Epoch:  0 | train loss: 1.1137 | test accuracy: 37.00
Epoch:  0 | train loss: 1.1077 | test accuracy: 39.00
Epoch:  0 | train loss: 1.0450 | test accuracy: 46.00
Epoch:  0 | train loss: 1.0521 | test accuracy: 48.00
Epoch:  0 | train loss: 1.1018 | test accuracy: 48.00
Epoch:  0 | train loss: 1.0845 | test accuracy: 51.00
Epoch:  0 | train loss: 0.9230 | test accuracy: 62.00
Epoch:  0 | train loss: 0.9808 | test accuracy: 51.00
Epoch:  0 | train loss: 1.1471 | test accuracy: 43.00
Epoch:  0 | train loss: 1.0373 | test accuracy: 37.00
Epoch:  0 | train loss: 1.0214 | test accuracy: 46.00
Epoch:  0 | train loss: 1.0729 | test accuracy: 45.00
Epoch:  0 | train loss: 0.9866 | test accuracy: 60.00
Epoch:  0 | train loss: 1.0662 | test accuracy: 42.00
Epoch:  0 | train loss: 1.0255 | test accuracy: 51.00
Epoch:  0 | train loss: 1.0951 | test accuracy: 45.00
Epoch:  0 | train loss: 1.1115 | test accuracy: 51.00
Epoch:  0 | train loss: 1.2157 | test accuracy: 39.00
Epoch:  0 | train loss: 1.0707 | test accuracy: 46.00
Epoch:  0 | train loss: 1.0267 | test accuracy: 42.00
Epoch:  0 | train loss: 1.1564 | test accuracy: 43.00
Epoch:  0 | train loss: 1.0098 | test accuracy: 51.00
Epoch:  0 | train loss: 1.0484 | test accuracy: 53.00
Epoch:  0 | train loss: 1.0652 | test accuracy: 56.00
Epoch:  0 | train loss: 1.1264 | test accuracy: 45.00
Epoch:  0 | train loss: 0.8426 | test accuracy: 64.00
Epoch:  0 | train loss: 1.0239 | test accuracy: 37.00
Epoch:  0 | train loss: 1.0387 | test accuracy: 46.00
Epoch:  0 | train loss: 1.0154 | test accuracy: 54.00
Epoch:  0 | train loss: 1.0374 | test accuracy: 43.00
Epoch:  0 | train loss: 1.1362 | test accuracy: 43.00
Epoch:  0 | train loss: 1.0120 | test accuracy: 50.00
